Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
25489025,The Vegetarian,Han Kang,"Kang, Han",Deborah     Smith,"=""0553448188""","=""9780553448184""",3,3.60,Hogarth Press,Hardcover,188,2016,2007,,2019/06/25,,,read,,,,1,,,0,,,,,
18600528,Under det rosa täcket,Nina Björk,"Björk, Nina",,"=""""","=""9789174293647""",0,3.84,Bonnier Pocket,Paperback,330,2013,1996,,2019/06/25,,,read,,,,1,,,0,,,,,
30514,The Words,Jean-Paul Sartre,"Sartre, Jean-Paul",Bernard Frechtman,"=""0394747097""","=""9780394747095""",4,3.77,Vintage,Mass Market Paperback,256,1981,1964,,2019/01/24,,,read,,,,1,,,0,,,,,
4808763,The Last Question,Isaac Asimov,"Asimov, Isaac","Bob E. Flick, Jim Gallant","=""1884214495""","=""9781884214493""",4,4.56,Ziggurat Productions,Audio CD,9,2007,1956,,2019/01/24,,,read,,,,1,,,0,,,,,
4381,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray","Alfredo Crespo, V. Churginaitė","=""0307347974""","=""9780307347978""",3,3.98,DeBolsillo,Mass Market Paperback,158,2004,1953,,2018/11/04,,,read,,,,1,,,0,,,,,
5107,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""0316769177""","=""9780316769174""",3,3.81,Back Bay Books,Paperback,277,2001,1951,,2018/11/03,,,read,,,,1,,,0,,,,,
33953507,Flugornas herre,William Golding,"Golding, William",,"=""""","=""9789100163518""",3,3.69,Albert Bonniers Förlag,Paperback,197,2016,1954,,2018/12/24,,,read,,,,1,,,0,,,,,
10780909,Doktor Glas,Hjalmar Söderberg,"Söderberg, Hjalmar",,"=""9100581526""","=""9789100581527""",4,3.77,Bonniers,Paperback,184,2002,1905,,2018/11/03,,,read,,,,1,,,0,,,,,
13497818,The Casual Vacancy,J.K. Rowling,"Rowling, J.K.",,"=""0316228532""","=""9780316228534""",1,3.30,"Little, Brown and Company",Hardcover,503,2012,2012,,2018/11/03,,,read,,,,1,,,0,,,,,
12857,The Gambler,Fyodor Dostoevsky,"Dostoevsky, Fyodor","Constance Garnett, Fyodor Dostoevsky","=""""","=""""",4,3.90,Modern Library,Paperback,188,2003,1866,,2018/11/04,,,read,,,,1,,,0,,,,,
4075548,Kasimir Malevich: Black and White: Suprematist Composition (1915),Kazimir Malevich,"Malevich, Kazimir",Andrei B. Nakov,"=""3865212999""","=""9783865212993""",3,3.00,Gerhard Steidl Gmbh,Hardcover,127,2010,2006,,2018/11/03,,,read,,,,1,,,0,,,,,
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",نجف دریابندری,"=""""","=""""",3,4.14,Faber & Faber,Paperback,258,2005,1989,,2018/11/03,,,read,,,,1,,,0,,,,,
228331,Getting Past No: Negotiating in Difficult Situations,William Ury,"Ury, William",,"=""0553371312""","=""9780553371314""",2,3.96,Bantam,Paperback,208,1993,1991,,2018/11/04,,,read,,,,1,,,0,,,,,
7613,Animal Farm,George Orwell,"Orwell, George","Boris Grabnar, Celâl Üster, Κυριάκος Ντελόπουλος, Τζωρτζ Όργουελ, Celâl Üstüner, Peter Škerl","=""0452284244""","=""9780452284241""",4,3.97,NAL,Paperback,122,2003,1945,,2018/11/03,,,read,,,,1,,,0,,,,,
9746,Mao: The Unknown Story,Jung Chang,"Chang, Jung",Jon Halliday,"=""0679746323""","=""9780679746324""",2,3.78,Anchor Books,Paperback,801,2006,2002,,2018/11/03,,,read,,,,1,,,0,,,,,
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",2,3.84,Vintage Books ,Paperback,288,2010,2005,,2018/11/03,,,read,,,,1,,,0,,,,,
31818,The Philosophy of Andy Warhol (From A to B and Back Again),Andy Warhol,"Warhol, Andy",,"=""0156717204""","=""9780156717205""",3,3.80,Mariner Books,Paperback,272,1977,1975,,2018/11/04,,,read,,,,1,,,0,,,,,
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",2,4.50,Scholastic Inc.,Paperback,870,2004,2003,2010/01/01,2018/11/03,,,read,,,,1,,,0,,,,,
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",3,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,2010/01/01,2018/11/03,,,read,,,,1,,,0,,,,,
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",3,4.57,Scholastic,Paperback,734,2002,2000,2010/01/01,2018/11/03,,,read,,,,1,,,0,,,,,
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",4,4.57,Scholastic Inc.,Paperback,652,2006,2005,2010/01/01,2018/11/03,,,read,,,,1,,,0,,,,,
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",3,4.43,Arthur A. Levine Books,Hardcover,341,1999,1998,2010/01/01,2018/11/03,,,read,,,,1,,,0,,,,,
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",3,4.48,Scholastic Inc,Hardcover,309,2003,1997,2010/01/01,2018/11/03,,,read,,,,1,,,0,,,,,
12749,Swann's Way,Marcel Proust,"Proust, Marcel",Lydia Davis,"=""0142437964""","=""9780142437964""",5,4.13,Penguin Classics,Paperback,444,2004,1913,2018/12/04,2018/11/03,,,read,,,,2,,,0,,,,,
16631,Steppenwolf,Hermann Hesse,"Hesse, Hermann",Basil Creighton,"=""0140282580""","=""9780140282580""",5,4.13,Penguin,Paperback,256,1999,1927,,2018/11/03,,,read,,,,1,,,0,,,,,
111450,Quidditch Through the Ages (Hogwarts Library),J.K. Rowling,"Rowling, J.K.",Andrew Lincoln,"=""0439321611""","=""9780439321617""",1,3.82,Scholastic,Hardcover,105,2001,2001,,2018/11/03,,,read,,,,1,,,0,,,,,
41899,Fantastic Beasts and Where to Find Them (Hogwarts Library),Newt Scamander,"Scamander, Newt",J.K. Rowling,"=""0439321603""","=""9780439321600""",2,3.97,Arthur A. Levine Books,Hardcover,128,2001,2001,,2018/11/03,,,read,,,,1,,,0,,,,,
3950967,The Tales of Beedle the Bard (Hogwarts Library),J.K. Rowling,"Rowling, J.K.",Lý Lan,"=""0747599874""","=""9780747599876""",2,4.05,Bloomsbury,Hardcover,109,2008,2008,,2018/11/03,,,read,,,,1,,,0,,,,,
25664369,Snön på Kilimanjaro,Ernest Hemingway,"Hemingway, Ernest",,"=""9789177424""","=""""",5,3.85,Bakhåll,Hardcover,272,2015,1961,,2018/11/08,,,read,,,,1,,,0,,,,,
968,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"Brown, Dan",,"=""""","=""""",2,3.89,Anchor,Paperback,489,2006,2003,,2018/11/04,,,read,,,,1,,,0,,,,,
227463,A Clockwork Orange,Anthony Burgess,"Burgess, Anthony",,"=""""","=""""",2,4.00,W. W. Norton & Company,Paperback,192,1986,1962,,2018/11/03,,,read,,,,1,,,0,,,,,
76171,We,Yevgeny Zamyatin,"Zamyatin, Yevgeny",Clarence Brown,"=""0140185852""","=""9780140185850""",2,3.91,Penguin Classics,Paperback,226,1993,1924,,2018/11/03,,,read,,,,1,,,0,,,,,
27537,Working with Emotional Intelligence,Daniel Goleman,"Goleman, Daniel",,"=""0553378589""","=""9780553378580""",2,3.82,Bantam,Paperback,400,2000,1998,,2018/11/04,,,read,,,,1,,,0,,,,,
41445909,The Undefeated,Ernest Hemingway,"Hemingway, Ernest",,"=""""","=""9789177424970""",5,3.24,Bakhåll,Hardcover,192,2018,1927,,2018/11/08,,,read,,,,1,,,0,,,,,
24791489,Under byggandet av den kinesiska muren och andra texter ur kvarlåtenskapen (1916-19),Franz Kafka,"Kafka, Franz","Hans Blomqvist, Erik Ågren","=""9177421523""","=""9789177421528""",3,3.69,Bakhåll,Hardcover,190,2001,1931,,2018/11/08,,,read,,,,1,,,0,,,,,
